postcode6,cbs_code
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
1031KP,BU0363NB07
